"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"6","370","37","1.000000","1.558596","7","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.840576","7","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","1.216695","7","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.787959","7","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","2.974974","7","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","3.082617","7","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.800661","7","3","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","0.200185","7","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.231545","7","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.493167","7","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","0.252956","7","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.381322","7","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.201993","7","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.249991","8","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.608981","8","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","-0.432041","8","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","2.732486","8","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","2.720167","8","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.610196","8","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.366618","8","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.835354","8","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.231019","8","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
